REP,block,ENTRY,T1,T2,T3,T4
1,1,98,173.2195,41.6916,51.0435,15.8728
2,1,98,163.2922,42.2516,34.8512,20.9206
3,1,98,157.0896,49.1891,37.3885,20.6787
4,1,98,172.3919,45.4815,39.1789,22.3447
1,1,99,175.3768,40.9188,33.1871,25.976
2,1,99,164.2048,35.7988,33.6118,25.5439
3,1,99,172.5877,42.9275,36.5091,27.2421
4,1,99,153.4359,39.5054,36.0222,28.498
1,1,100,160.9529,55.7615,31.1909,23.9296
2,1,100,148.4604,46.5564,33.7248,24.7625
3,1,100,169.1922,45.0944,32.1347,25.4503
4,1,100,156.689,45.8758,31.2781,22.7502
1,1,101,143.3929,46.7946,25.5304,21.1557
2,1,101,150.6198,43.3294,30.0883,20.777
3,1,101,156.52,46.3798,31.821,18.0901
4,1,101,156.2061,39.9333,30.8116,20.1857
1,1,102,175.0147,34.3687,30.269,23.357
2,1,102,171.4812,35.6629,38.9465,26.0635
3,1,102,158.2815,33.9511,34.7613,25.7022
4,1,102,151.4085,40.2273,32.957,25.0062
1,1,103,157.1291,36.8644,34.7626,19.0138
2,1,103,158.7457,43.5433,37.6668,20.2556
3,1,103,145.0403,47.0588,34.5542,16.2168
4,1,103,145.3992,46.8614,34.0413,14.3546
1,1,104,160.7187,47.8134,27.9906,17.841
2,1,104,145.3224,51.7532,32.2933,18.9296
3,1,104,172.8602,58.1042,34.747,18.0429
4,1,104,140.1087,52.8762,34.2472,20.1456
1,1,105,174.0425,51.8109,35.2802,25.8535
2,1,105,186.7822,46.8308,35.2328,25.7867
3,1,105,193.3275,41.997,37.1816,24.8625
4,1,105,180.7182,43.9941,36.6101,26.5764
1,1,106,143.8579,45.4179,27.9912,22.2708
2,1,106,144.6213,45.0392,32.7313,23.1362
3,1,106,169.2968,43.3853,23.7746,22.2184
4,1,106,147.6818,39.3871,21.2118,24.2899
1,1,107,168.9405,32.5235,31.6568,15.7472
2,1,107,167.5607,40.2116,27.9076,17.8925
3,1,107,156.2091,44.5199,28.4144,18.0261
4,1,107,164.8831,39.9079,32.4853,17.2777
1,1,108,147.192,39.4267,36.2799,18.5886
2,1,108,170.0171,44.9987,28.4849,17.7713
3,1,108,165.9258,45.012,30.9299,18.4294
4,1,108,161.0903,43.4699,32.0811,17.7441
1,1,109,143.1743,44.1496,30.7703,16.7245
2,1,109,156.7268,47.3135,31.7748,16.8177
3,1,109,170.6785,45.889,34.9318,19.7982
4,1,109,163.0373,46.0123,31.8579,17.3073
1,1,110,178.8387,37.7536,36.1339,15.751
2,1,110,178.885,49.2681,39.6883,13.5636
3,1,110,170.2788,43.0728,37.2139,13.7247
4,1,110,154.6827,38.5281,38.392,13.8545
1,1,111,156.2304,40.0151,34.5093,21.7594
2,1,111,149.8725,41.4735,29.9595,19.0097
3,1,111,175.9207,44.4164,33.0445,21.0493
4,1,111,175.4162,45.9199,38.9027,20.0126
1,1,112,157.2529,49.7667,32.7118,22.3488
2,1,112,156.1386,39.6595,35.812,22.702
3,1,112,173.4383,46.7707,29.7209,27.1252
4,1,112,162.3663,50.7386,28.5496,24.143
1,1,113,159.0561,49.16,35.8958,23.4907
2,1,113,158.8981,44.8259,33.9561,26.2333
3,1,113,167.2926,42.8903,34.2182,22.1595
4,1,113,143.6727,41.2627,36.6065,26.6633
1,1,114,145.845,36.5495,38.9645,26.2167
2,1,114,157.204,32.932,36.6073,24.3097
3,1,114,172.2535,42.3195,39.5856,24.7498
4,1,114,167.0046,35.521,43.1868,21.3761
1,1,115,169.1671,43.5141,37.7803,21.5138
2,1,115,175.3273,46.7673,26.0031,22.3184
3,1,115,149.9323,46.0219,35.3453,20.8584
4,1,115,160.7449,49.6751,32.5316,18.917
1,1,116,179.3865,43.2387,41.1642,27.7523
2,1,116,163.5945,41.7684,37.2735,24.263
3,1,116,162.663,34.4673,34.6725,22.9442
4,1,116,146.3357,39.2355,30.4729,24.722
1,1,117,160.5555,49.7008,32.7653,22.8308
2,1,117,172.1133,57.8366,32.4838,25.9757
3,1,117,164.704,50.9514,29.9666,24.2723
4,1,117,158.2172,48.2209,34.2306,20.8542
1,1,118,153.9611,46.9033,26.1905,19.7955
2,1,118,160.4357,41.9209,27.8584,18.3469
3,1,118,169.9977,50.5591,30.5427,16.5345
4,1,118,152.3913,42.7736,29.947,19.0549
1,1,119,146.8424,44.6345,33.4692,25.5542
2,1,119,155.2624,46.3021,40.3619,23.2437
3,1,119,161.9851,44.648,39.0178,24.3638
4,1,119,154.8681,49.988,40.2554,20.8007
1,1,120,162.5151,37.7326,37.659,18.2334
2,1,120,160.8557,36.0777,35.752,19.8987
