ENTRY,GY,PH,SD
(CML543/CML566)//CKDHL1715791,6.816430575,247.7381776,75.80013866
(CML543/CML566)//CKDHL1715794,6.860854954,233.0392249,75.0620348
(CML543/CML566)//CKDHL1715795,6.929588582,238.4788733,77.23689388
(CML543/CML566)//CKDHL1715799,6.853719761,236.2628796,73.88588594
(CML543/CML566)//CKDHL1715800,7.15541734,240.4614872,75.53310342
(CML543/CML566)//CKDHL1715804,6.377825175,239.1169295,74.26261785
(CML543/CML566)//CKDHL1715807,7.502520012,239.0651082,73.72505596
(CML543/CML566)//CKDHL1715808,7.077387557,242.2097552,76.07093654
(CML543/CML566)//CKDHL1715809,7.534352839,235.9658954,75.21173759
(CML543/CML566)//CKDHL1715812,6.981546308,242.595078,72.87187405
(CML543/CML566)//CKDHL1715813,7.199611201,247.3521065,75.0490282
(CML543/CML566)//CKDHL1715814,7.085428808,236.5813203,74.85069285
(CML543/CML566)//CKDHL1715815,7.419527973,242.0631654,75.54553801
(CML543/CML566)//CKDHL1715819,7.106004095,235.5950572,73.31197438
(CML543/CML566)//CKDHL1715820,7.246767389,245.1180298,73.77917043
(CML543/CML566)//CKDHL1715825,6.722795526,250.6935728,77.54744337
(CML543/CML566)//CKDHL1715828,7.236066907,245.7334052,75.79069966
(CML543/CML566)//CKDHL1715829,6.346404657,235.0115681,73.99452609
(CML543/CML566)//CKDHL1715830,7.534770792,235.7117125,74.91876953
(CML543/CML566)//CKDHL1715831,6.874790066,233.6523959,73.01911052
(CML543/CML566)//CKDHL1715832,6.732678667,231.466733,72.47870775
(CML543/CML566)//CKDHL1715837,6.322525633,235.8227797,75.79653381
(CML543/CML566)//CKDHL1715839,6.838983262,236.6906005,74.78304474
(CML543/CML566)//CKDHL1715840,7.16081538,240.8115756,72.56951945
(CML543/CML566)//CKDHL1715841,6.869503868,243.4918252,76.35734879
(CML543/CML566)//CKDHL1715842,6.392412019,228.3599635,73.78629517
(CML543/CML566)//CKDHL1715843,7.345974559,246.0099368,77.93999365
(CML543/CML566)//CKDHL1715844,7.453181335,249.7545536,75.37892699
(CML543/CML566)//CKDHL1715846,6.684309249,224.6512499,73.30240015
(CML543/CML566)//CKDHL1715847,6.792347784,246.2706335,76.08493566
(CML543/CML566)//CKDHL1715848,7.877404566,246.4554063,76.30537255
(CML543/CML566)//CKDHL1715849,6.720046362,233.2943094,72.90854877
(CML543/CML566)//CKDHL1715850,7.401499757,248.2713716,78.06859378
(CML543/CML566)//CKDHL1715852,6.980745838,237.914973,72.38978926
(CML543/CML566)//CKDHL1715853,7.393870063,236.5429326,75.07216685
(CML543/CML566)//CKDHL1715856,7.038881115,243.2517384,72.94117533
(CML543/CML566)//CKDHL1715857,7.3151522,225.757878,73.50837949
(CML543/CML566)//CKDHL1715861,7.637210236,243.7572219,73.42250076
(CML543/CML566)//CKDHL1715864,7.369133174,222.9460475,71.23633199
(CML543/CML566)//CKDHL1715866,7.079828672,237.2168333,74.34167834
(CML543/CML566)//CKDHL1715870,7.062033454,239.2544662,74.52277898
(CML543/CML566)//CKDHL1715871,6.095000069,219.1098022,72.34448528
(CML543/CML566)//CKDHL1715879,7.054913603,243.3738172,72.36624374
(CML543/CML566)//CKDHL1715880,6.866233569,229.3311699,76.10928933
(CML543/CML566)//CKDHL1715882,7.107968907,243.0485928,73.78398754
(CML543/CML566)//CKDHL1715883,7.032529481,240.8155259,73.00772087
(CML543/CML566)//CKDHL1715886,7.07313673,251.6680667,76.77378169
(CML543/CML566)//CKDHL1715887,6.913401367,237.5674066,75.87538179
(CML543/CML566)//CKDHL1715891,6.808515392,232.9079577,74.59718767
(CML543/CML566)//CKDHL1715892,7.159114958,238.4015974,74.57451549
(CML543/CML566)//CKDHL1715895,6.638010678,230.7507241,73.18810597
(CML543/CML566)//CKDHL1715896,7.656620734,242.1792297,74.42672282
(CML543/CML566)//CKDHL1715898,7.754665196,234.1948455,74.7138186
